uuid;full_name;phone;country;city
2af32fae-4e59-4fe0-a193-c474c3732b2e;Ysabel Wilkowski;;Kenya;Meru
bdc3cc1c-d506-4790-a9ae-ba7ba3bc5d32;Matthew Karlolak;8906397808;Ethiopia;Nazrēt
b12598c3-db80-4c6b-9ed0-b2e00d11ac26;Willy Klewi;7618865010;Tanzania;Isaka
a802857b-d3d8-40a5-892c-22a136beb9e1;Loren Langman;1313965517;Tanzania;Mugumu
413653d2-36a3-49ae-af2a-ec105702af9e;Cicely Wearne;9995806628;Ethiopia;Kofelē
35a8ba23-0b94-4e5d-a268-04fbd25ec698;Myrwyn Craze;;Kenya;Kakamega
0c117da0-2dd5-4d54-8221-42e730177ad1;Bernie Andreia;2487306572;Tanzania;Shinyanga
ed0947c6-b84d-451b-a58c-110cd63c925f;Fulton Nalder;8542961865;Kenya;Karuri
f8e1db2a-bffc-4499-857e-0457062a4f0e;Vi Peaddie;1725813841;Kenya;Isiolo
d23b0eb7-f5e3-455d-b2cd-c84c7ffb4418;My Gyorffy;;Ethiopia;Dīla
1fff29d7-242c-4d02-a355-71d4a7d52c47;Perkin Thor;3981123745;Kenya;Busia
40ec41ed-d9c1-46dc-bdfa-a4ffba70fa77;Alicia Cockarill;7791726282;Ethiopia;Guder
f70d92cb-73d3-47d9-8600-daa159f36bab;Anselm Kivlehan;5875179786;Kenya;Nairobi
7a1729a3-f8c0-4524-bb8c-73677ae38650;Elvira Irdale;9478640966;Kenya;Mandera
be08c565-2193-4cda-9073-7f7306809bc3;Josie Fabri;;Tanzania;Nungwi
8aa2f276-dd65-41cb-ac69-8df20afac7e3;Washington Farnham;;Kenya;Rongai
ab572443-03a9-45f2-8219-dc45d90a8708;Cordelia Mattke;4025710152;Tanzania;Kisesa
a8143db0-8332-4ef5-8127-eb1bdfd50bdf;Den Ropking;8751066593;Tanzania;Tukuyu
460276b6-03e0-4965-9993-922e66659a7c;Scotti Cossey;;Ethiopia;Debre Sīna
446d40c8-7048-4240-8892-e2431421e58b;Mitchel Eckersall;4363718939;Ethiopia;Kibre Mengist
31d7ce50-7ac6-4aff-8360-5c3d95e886e8;Lianna Rankling;5873412127;Ethiopia;Yabēlo
891d2268-495d-4222-9df9-9108df09e3a7;Murvyn Goude;2821092989;Kenya;Homa Bay
3307ed3b-bda5-4a42-86cb-48479671f7df;Evangeline Mellmer;2619367971;Tanzania;Sikonge
a79757fe-fd46-4602-9d7b-f937450c1b31;Terencio Matussow;7588745601;Kenya;Kitui
b07842b0-e77d-4273-9258-4b9b6f084713;Joana Sly;;Ethiopia;Ādīs Zemen
d151dcff-b3f4-449e-b3be-f67f002b13f1;Rhys Innerstone;7885710426;Tanzania;Nganane
3949fe14-79d2-41ac-bf11-2765bdc28b60;Tonie Idill;1288885438;Kenya;Kajiado
8899e6c4-922e-4830-839f-ff4d88ae0378;Danie Swyndley;1186163237;Ethiopia;Nejo
2742e81c-f207-49e1-a18e-895ff5f415c4;June Thams;5889953243;Ethiopia;Kombolcha
c32def00-f032-403e-9879-e3b9877c2c8c;Viviana Eberle;;Ethiopia;Sendafa
f6eb5b15-5015-43f1-8ec3-39195eaa2aa5;Andi Kingman;7511333783;Tanzania;Mhango
9b19c0ed-be59-40ba-9f77-666314dd686a;Kimberly Cleatherow;3948477738;Tanzania;Izazi
b2767ef9-2eb8-4f85-a532-9dfd9aef0058;Wileen Divine;6002858546;Tanzania;Mgandu
d620432a-2658-4918-a4b5-a6b327f84866;Candida Fruen;8627619844;Ethiopia;Dīla
ed5c9348-e8c7-446f-b243-cd03fbeb5fe6;Kimball Blinkhorn;7395534840;Ethiopia;Hāgere Selam
c555ac89-3860-46ed-af99-c8721488573c;Dorolice Ormes;1559584784;Tanzania;Ilembula
ea70ce2e-8be2-4533-8d01-081c5e7521ca;Janelle Middleditch;7635859111;Tanzania;Ifakara
94cf669f-167c-443d-8c10-a2065d921de8;Mallorie Westhoff;5265924754;Ethiopia;Mīzan Teferī
54c1392c-5b67-4ff6-8085-fab7d8425f01;Frazer Siddaley;6768517525;Tanzania;Nkove
bb552871-0db5-45e0-aa2e-dc8f7cdac54d;Chloris Barkley;6443997550;Tanzania;Masuguru
47110700-84ca-47cf-9b3c-e1a2f95b5d3e;Harli Onslow;9212695279;Tanzania;Mpanda
d0b12511-7598-4bc6-b191-310c163d0197;Olimpia Braferton;9319852942;Kenya;Kisii
0fd6ef07-cd52-4881-b3f8-91e01d4b2726;Cinda Ridley;9971350415;Tanzania;Mikumi
de3c2233-754e-4a53-afff-70f06f44c79f;Skipper Ullyatt;6307531293;Ethiopia;Butajīra
346e0c0c-3fc1-45ec-a781-f220ed1ef402;Orelee Streetfield;5034629094;Ethiopia;Āwash
3b297f49-c31b-4fab-80f3-d0ae6f488353;Darla Fossick;;Tanzania;Shinyanga
2590673c-ea13-4fc6-a880-d2d2253c8715;Katha Kleinsmuntz;7413044289;Tanzania;Kidatu
9fb5f343-f2a8-4371-a151-abb41343ed60;Scotty Reddy;6817573529;Kenya;Londiani
331d9fab-a061-432c-96b7-28f2afb6010e;Lorrie Element;5523908564;Tanzania;Ndago
00ea56cb-aa92-4198-b132-d173191a2cf2;Mariska Alpin;1093570241;Tanzania;Mlowo
89ef19ca-2553-441d-a60a-4b537471185e;Krissie Spadollini;;Tanzania;Usa River
ddf65c4c-3d6c-463a-857d-b906db438b01;Hannah Bramah;1528510558;Tanzania;Muleba
0525492d-f0fc-4d4f-8861-502b1693420e;Amble Kondratenya;3535993289;Tanzania;Mvomero
56147622-3fb0-4295-8927-293e5b63a3b1;Consuela Camacke;8726609201;Tanzania;Kondoa
5ca323a8-9b42-4858-b5e7-284695904824;Anton Basindale;8768375098;Tanzania;Mhango
52a8211c-93b1-4917-9128-1b5d7859aa3a;Auguste Forber;7775051031;Ethiopia;Were Īlu
04cf8b07-248b-40b0-93aa-dd558a2d9a5e;Dorree Bjorkan;8983543565;Kenya;Webuye
0fbf0b54-f257-4398-b245-946f3edd4fcc;Hewitt Carillo;8925548213;Tanzania;Issenye
8eaa6f66-21cf-4f89-8571-cfcd5b0447ca;Bendick Rains;3192990227;Ethiopia;Turmi
9e3dccaf-b483-4cd5-8bc6-f2d9df86c959;Eolande Vaudre;8737744200;Kenya;Mumias
092f49ce-a457-4a2f-aa13-731e4d2ace7d;Myrlene Dufaur;6024919135;Ethiopia;Deder
2ddfb92b-93a4-45e5-b99c-cfafd825087d;Haily Ashman;8165890772;Kenya;Kilifi
97930b51-43ed-4f9c-9c00-50649f291fd0;Earlie Ciubutaro;4985319723;Tanzania;Masuguru
e3312588-af23-472c-bc32-915770bc938e;Norrie Derrick;5757748158;Kenya;Kakamega
6a6afcd8-92ab-4a81-9c78-8d449985a017;Dalt Aizikovitch;1739583392;Tanzania;Dongobesh
c240f063-26c6-4ff9-8d71-7ad6d410d2cd;Edita Kinnon;9784937205;Tanzania;Mabamba
a3e68c16-71ab-4aa2-9746-bb25f194950e;Izabel Langmaid;3058800533;Tanzania;Sikonge
d685a634-d955-4010-9a05-1208d2ac7c15;Cassandra Paffett;2048693287;Tanzania;Misasi
a18b4bae-9a41-4e12-a9f8-968534a834a0;Billie Strutley;5117648521;Ethiopia;Debre Tabor
b50c1a3d-6d42-47ae-b6b7-351764164a00;Merrel Clouter;2059488963;Ethiopia;Kibre Mengist
f884ee36-7897-4f1b-a06c-8b85a1bfb6ed;Teodorico Ralton;5343824881;Tanzania;Mlowo
8a02cae0-38a5-42ff-9f2c-1e66d18f0b68;Dori Feldheim;6424853524;Kenya;Kabarnet
c76d3780-f40d-4cb1-87f1-a1ff8226f6d4;Josey Longina;1297927720;Tanzania;Mwembe
746590c1-918a-4040-8a4e-ebe1fc472d7d;Sharona Yearsley;;Kenya;Marsabit
46766f62-87ba-4879-8148-fbac6eccd3d5;Bernadette Imos;;Kenya;Keruguya
011792f7-7f11-45c7-87f5-5ed1ccceb74c;Amalia Poone;;Kenya;Siaya
